time(s),Engagement,Memorization,Workload
0.368000,30.35148501,25.4347974719,19.1125012858
0.372000,30.35148501,25.4347974719,19.1125012858
0.376000,30.35148501,25.4347974719,19.1125012858
0.380000,30.35148501,25.4347974719,19.1125012858
0.384000,29.7682759313,25.3159937735,18.4796439218
0.388000,29.7682759313,25.3159937735,18.4796439218
0.392000,29.7682759313,25.3159937735,18.4796439218
0.396000,29.7682759313,25.3159937735,18.4796439218
0.400000,29.7682759313,25.3159937735,18.4796439218
0.404000,29.7682759313,25.3159937735,18.4796439218
0.408000,29.7682759313,25.3159937735,18.4796439218
0.412000,29.7682759313,25.3159937735,18.4796439218
0.416000,30.1991147272,25.4210345823,17.9614755984
0.420000,30.1991147272,25.4210345823,17.9614755984
0.424000,30.1991147272,25.4210345823,17.9614755984
0.428000,30.1991147272,25.4210345823,17.9614755984
0.432000,30.1991147272,25.4210345823,17.9614755984
0.436000,30.1991147272,25.4210345823,17.9614755984
0.440000,30.1991147272,25.4210345823,17.9614755984
0.444000,30.1991147272,25.4210345823,17.9614755984
0.448000,30.1263564416,25.5798042176,17.9086184194
0.452000,30.1263564416,25.5798042176,17.9086184194
0.456000,30.1263564416,25.5798042176,17.9086184194
0.460000,30.1263564416,25.5798042176,17.9086184194
0.464000,30.1263564416,25.5798042176,17.9086184194
0.468000,30.1263564416,25.5798042176,17.9086184194
0.472000,30.1263564416,25.5798042176,17.9086184194
0.476000,30.1263564416,25.5798042176,17.9086184194
0.480000,29.6562804055,25.7640737029,18.6529611393
0.484000,29.6562804055,25.7640737029,18.6529611393
0.488000,29.6562804055,25.7640737029,18.6529611393
0.492000,29.6562804055,25.7640737029,18.6529611393
0.496000,29.6562804055,25.7640737029,18.6529611393
0.500000,29.6562804055,25.7640737029,18.6529611393
0.504000,29.6562804055,25.7640737029,18.6529611393
0.508000,29.6562804055,25.7640737029,18.6529611393
0.512000,30.1760701494,26.393930835,19.1112622107
0.516000,30.1760701494,26.393930835,19.1112622107
0.520000,30.1760701494,26.393930835,19.1112622107
0.524000,30.1760701494,26.393930835,19.1112622107
0.528000,30.1760701494,26.393930835,19.1112622107
0.532000,30.1760701494,26.393930835,19.1112622107
0.536000,30.1760701494,26.393930835,19.1112622107
0.540000,30.1760701494,26.393930835,19.1112622107
0.544000,29.9597064211,26.3354850324,17.685674219
0.548000,29.9597064211,26.3354850324,17.685674219
0.552000,29.9597064211,26.3354850324,17.685674219
0.556000,29.9597064211,26.3354850324,17.685674219
0.560000,29.9597064211,26.3354850324,17.685674219
0.564000,29.9597064211,26.3354850324,17.685674219
0.568000,29.9597064211,26.3354850324,17.685674219
0.572000,29.9597064211,26.3354850324,17.685674219
0.576000,29.8928232302,25.7592340665,18.7481361307
0.580000,29.8928232302,25.7592340665,18.7481361307
0.584000,29.8928232302,25.7592340665,18.7481361307
0.588000,29.8928232302,25.7592340665,18.7481361307
0.592000,29.8928232302,25.7592340665,18.7481361307
0.596000,29.8928232302,25.7592340665,18.7481361307
0.600000,29.8928232302,25.7592340665,18.7481361307
0.604000,29.8928232302,25.7592340665,18.7481361307
0.608000,30.18127392,26.1085879622,18.1037576726
0.612000,30.18127392,26.1085879622,18.1037576726
0.616000,30.18127392,26.1085879622,18.1037576726
0.620000,30.18127392,26.1085879622,18.1037576726
0.624000,30.18127392,26.1085879622,18.1037576726
0.628000,30.18127392,26.1085879622,18.1037576726
0.632000,30.18127392,26.1085879622,18.1037576726
0.636000,30.18127392,26.1085879622,18.1037576726
0.640000,29.8195178208,26.2666989227,18.118956137
0.644000,29.8195178208,26.2666989227,18.118956137
0.648000,29.8195178208,26.2666989227,18.118956137
0.652000,29.8195178208,26.2666989227,18.118956137
0.656000,29.8195178208,26.2666989227,18.118956137
0.660000,29.8195178208,26.2666989227,18.118956137
0.664000,29.8195178208,26.2666989227,18.118956137
0.668000,29.8195178208,26.2666989227,18.118956137
0.672000,30.1137113563,25.3720000758,18.9428876659
0.676000,30.1137113563,25.3720000758,18.9428876659
0.680000,30.1137113563,25.3720000758,18.9428876659
0.684000,30.1137113563,25.3720000758,18.9428876659
0.688000,30.1137113563,25.3720000758,18.9428876659
0.692000,30.1137113563,25.3720000758,18.9428876659
0.696000,30.1137113563,25.3720000758,18.9428876659
0.700000,30.1137113563,25.3720000758,18.9428876659
0.704000,29.7656382562,25.7665353473,18.0387636064
0.708000,29.7656382562,25.7665353473,18.0387636064
0.712000,29.7656382562,25.7665353473,18.0387636064
0.716000,29.7656382562,25.7665353473,18.0387636064
